ticker,options_volume,options_volume_call,options_volume_put,volume_put_call_ratio,open_interest,open_interest_call,open_interest_put,open_interest_put_call_ratio,iv_rank,implied_volatility_30d,,,,
ORCL,32520,23134,9386,0.405723178,615964,339503,276461,0.814310919,61.4151032,47.38142857,,ERR,ERR,ERR
TLRY,32444,31810,634,0.019930839,766966,642960,124006,0.192867363,37.81045807,108.0528571,,ERR,ERR,ERR
MDT,32381,7799,24582,3.151942557,208068,111584,96484,0.864675939,42.01887361,25.15857143,,ERR,ERR,ERR
EPD,31868,30001,1867,0.062231259,245921,194825,51096,0.262266136,36.13398796,18.77714286,,ERR,ERR,ERR
PTON,31814,17163,14651,0.853638641,431712,274074,157638,0.575165831,2.709133274,64.33857143,,,,
AI,31696,22938,8758,0.381811841,363450,279282,84168,0.301372806,69.26025096,80.45142857,,ERR,ERR,ERR
GS,31436,13456,17980,1.336206897,258256,132704,125552,0.946105619,16.13707714,25.61714286,,,,
LYFT,31153,20749,10404,0.501421755,702292,392854,309438,0.787666665,3.113207547,45.9,,,,
GE,31149,20627,10522,0.510108111,270698,162734,107964,0.663438495,11.25458747,27.69142857,,,,
MO,31104,14215,16889,1.18811115,377035,189792,187243,0.986569508,27.77215325,20.49571429,,,,
KVUE,31087,22212,8875,0.399558797,323936,249433,74503,0.298689428,11.98824042,22.88857143,,,,
PYPL,30727,19558,11169,0.571070662,1221805,786687,435118,0.553101805,7.414378278,29.27285714,,,,
UPST,30573,17079,13494,0.790093097,285641,162153,123488,0.761552361,7.842738519,67.90571429,,,,
DLTR,30106,9738,20368,2.091599918,293289,152228,141061,0.92664293,48.06099756,55.59714286,,ERR,ERR,ERR
PDD,30063,14938,15125,1.012518409,1240256,694956,545300,0.784653992,39.82899893,48.37857143,,ERR,ERR,ERR
FL,30031,10354,19677,1.900424957,341119,77086,264033,3.42517448,0.001,21.32714286,,,,
PG,29746,24964,4782,0.19155584,296774,189113,107661,0.569294549,27.61904762,17.49857143,,,,
EH,29661,21582,8079,0.374339728,96240,53978,42262,0.782948609,32.38606547,79.84428571,,ERR,ERR,ERR
CCL,29518,15834,13684,0.864216244,1189722,494884,694838,1.404042159,18.25235544,41.71,,,,
CLF,29433,15738,13695,0.870186809,911807,649184,262623,0.404543242,47.33121867,65.32285714,,ERR,ERR,ERR
BYND,29363,25971,3392,0.130607216,291259,115236,176023,1.527500087,25.18664065,116.9928571,,,,
ETHA,29286,26238,3048,0.116167391,177037,128813,48224,0.374372152,60.62118278,70.41714286,,ERR,ERR,ERR
XYZ,28691,16721,11970,0.715866276,719261,445982,273279,0.612757914,1.830448812,43.51142857,,,,
TTD,28496,20458,8038,0.392902532,546450,337288,209162,0.620128792,17.49979151,43.53857143,,,,
JNJ,28359,16329,12030,0.73672607,427304,248596,178708,0.718869169,27.96825397,18.94285714,,,,
BEKE,27734,21234,6500,0.306112838,493196,315944,177252,0.561023473,6.190302208,40.64285714,,,,
DKNG,27729,17649,10080,0.571137175,586831,364556,222275,0.609714283,11.38944641,41.78428571,,,,
AFRM,27116,19579,7537,0.384953266,448008,272870,175138,0.641836772,3.235226312,59.95571429,,,,
RTX,26941,23577,3364,0.142681427,192007,109761,82246,0.749318975,16.452513,20.11285714,,,,
DAL,26886,13878,13008,0.937310852,792422,434031,358391,0.825726734,24.57747732,43.30857143,,,,
NVDL,26777,18081,8696,0.48094685,232194,162403,69791,0.429739598,23.22074953,92.49714286,,,,
WFC,26209,14704,11505,0.782440152,1286121,621042,665079,1.070908248,17.56280817,26.65,,,,
CCJ,26018,6170,19848,3.216855754,441054,199993,241061,1.205347187,6.41101511,38.73142857,,,,
MCD,25931,18542,7389,0.398500701,193037,87972,105065,1.194300459,16.01112435,17.56,,,,
NEE,25814,6998,18816,2.688768219,595801,371574,224227,0.603451802,23.1551561,27.94285714,,,,
RKT,25651,21321,4330,0.203086159,610041,386825,223216,0.577046468,25.76065325,55.99714286,,,,
NFE,25380,17021,8359,0.49109923,216425,104984,111441,1.06150461,82.44333388,160.2728571,,ERR,ERR,ERR
CRM,25308,16441,8867,0.539322426,475760,265223,210537,0.793811246,62.21995059,43.64857143,,ERR,ERR,ERR
TOST,24652,18843,5809,0.308284243,310746,189145,121601,0.642898306,0.001,35.88428571,,,,
ETSY,24420,19228,5192,0.270022883,258214,175170,83044,0.474076611,22.07057149,41.40857143,,,,
PINS,24221,12502,11719,0.937370021,412626,230628,181998,0.789140954,21.4999334,39.22,,,,
ENPH,23971,12842,11129,0.866609562,324859,161610,163249,1.010141699,30.07000453,64.58857143,,ERR,ERR,ERR
ENVX,23804,20583,3221,0.156488364,445743,360061,85682,0.237965234,15.56437111,91.94571429,,,,
